Name                 Depth      Confidence 
bus 1                26.71      0.53       
car 1                32.48      0.44       
car 2                34.17      0.46       
car 3                36.33      0.50       
car 4                24.29      0.56       
car 5                29.61      0.63       
car 6                23.63      0.75       
car 7                14.38      0.77       
car 8                14.66      0.84       
car 9                9.08       0.90       
truck 1              27.01      0.27       
